Text;Tokenization;Normalization;Stop_Removal;Tweet_Stemmed;sentimen
bentar ya cowo gw hype cowo kpop gw dulu;[bentar, ya, cowo, gw, hype, cowo, kpop, gw, dulu];[bentar, iya, cowo, gue, hype, cowok, kpop, gue, dulu];[bentar, iya, cowo, gue, hype, cowok, kpop, gue];[bentar, iya, cowo, gue, hype, cowok, kpop, gue];positif
kata gua mah mendingan lu istighfar daripada beli case mendingan duitnya disimpen buat beli foto cowok kpop;[kata, gua, mah, mendingan, lu, istighfar, daripada, beli, case, mendingan, duitnya, disimpen, buat, beli, foto, cowok, kpop];[kata, gue, mah, mendingan, lu, istighfar, daripada, beli, case, mendingan, duitnya, disimpen, buat, beli, foto, cowok, kpop];[gue, mah, mendingan, lu, istighfar, beli, case, mendingan, duitnya, disimpen, beli, foto, cowok, kpop];[gue, mah, mending, lu, istighfar, beli, case, mending, duit, disimpen, beli, foto, cowok, kpop];negatif
ini prerelease cuma buat pembuka aja sebelum bener rilis mv utama lagu ini masuknya bside nder sekarang mulai banyak grup kpop yg rilis mv di luar mv utama nder;[ini, prerelease, cuma, buat, pembuka, aja, sebelum, bener, rilis, mv, utama, lagu, ini, masuknya, bside, nder, sekarang, mulai, banyak, grup, kpop, yg, rilis, mv, di, luar, mv, utama, nder];[ini, prerelease, cuma, buat, pembuka, saja, sebelum, benar, rilis, mv, utama, lagu, ini, masuknya, bside, nder, sekarang, mulai, banyak, grup, kpop, yang, rilis, mv, di, luar, mv, utama, nder];[prerelease, pembuka, rilis, mv, utama, lagu, masuknya, bside, nder, grup, kpop, rilis, mv, mv, utama, nder];[prerelease, buka, rilis, mv, utama, lagu, masuk, bside, nder, grup, kpop, rilis, mv, mv, utama, nder];netral
aku sebenernya gak pernah lepas dari hiburan dunia maya pernah berhenti kpopan karena bosen akhirnya ganti h;[aku, sebenernya, gak, pernah, lepas, dari, hiburan, dunia, maya, pernah, berhenti, kpopan, karena, bosen, akhirnya, ganti, h];[aku, sebenarnya, enggak, pernah, lepas, dari, hiburan, dunia, maya, pernah, berhenti, kpopan, karena, bosan, akhirnya, ganti, h];[lepas, hiburan, dunia, maya, berhenti, kpopan, bosan, ganti];[lepas, hibur, dunia, maya, henti, kpopan, bosan, ganti];negatif
keknya kl akun kpop bakal ga ada yang bales;[keknya, kl, akun, kpop, bakal, ga, ada, yang, bales];[kayaknya, kalau, akun, kpop, bakal, enggak, ada, yang, balas];[kayaknya, akun, kpop, balas];[kayak, akun, kpop, balas];negatif
sekali kali pemerintah adain rehab kpop;[sekali, kali, pemerintah, adain, rehab, kpop];[sekali, kali, pemerintah, mengadakan, rehab, kpop];[kali, pemerintah, mengadakan, rehab, kpop];[kali, perintah, ada, rehab, kpop];negatif
jakarta tuh emang bener bgt kota capek kota sibuk kerja disana juga harus satset plusnya bisa ketemu idol kpop deket minusnya jauh dari orang tua;[jakarta, tuh, emang, bener, bgt, kota, capek, kota, sibuk, kerja, disana, juga, harus, satset, plusnya, bisa, ketemu, idol, kpop, deket, minusnya, jauh, dari, orang, tua];[jakarta, tuh, memang, benar, banget, kota, capek, kota, sibuk, kerja, disana, juga, harus, satset, plusnya, bisa, ketemu, idol, kpop, dekat, minusnya, jauh, dari, orang, tua];[jakarta, tuh, banget, kota, capek, kota, sibuk, kerja, disana, satset, plusnya, ketemu, idol, kpop, minusnya, orang, tua];[jakarta, tuh, banget, kota, capek, kota, sibuk, kerja, sana, satset, plus, ketemu, idol, kpop, minus, orang, tua];negatif
selalu beea kpop je ngan chena ttbe lokal adeh pecah perut;[selalu, beea, kpop, je, ngan, chena, ttbe, lokal, adeh, pecah, perut];[selalu, beea, kpop, je, ngan, chena, ttbe, lokal, adeh, pecah, perut];[beea, kpop, je, ngan, chena, ttbe, lokal, adeh, pecah, perut];[beea, kpop, je, ngan, chena, ttbe, lokal, adeh, pecah, perut];negatif
kalo kpopan bikin kalian setres gak punya hati hilang empati kewarasan berkurang dan jadi sering musuhan antar fandom mending rehat dulu aja atau sekalian gak peu kpopan harusnya kpop bikin semangat dan happy;[kalo, kpopan, bikin, kalian, setres, gak, punya, hati, hilang, empati, kewarasan, berkurang, dan, jadi, sering, musuhan, antar, fandom, mending, rehat, dulu, aja, atau, sekalian, gak, perlu, kpopan, harusnya, kpop, bikin, semangat, dan, happy];[kalo, kpopan, bikin, kalian, sstres, enggak, punya, hati, hilang, empati, kewarasan, berkurang, dan, jadi, sering, musuhan, antar, fandom, mending, rehat, dulu, saja, atau, sekalian, enggak, perlu, kpopan, harusnya, kpop, bikin, semangat, dan, happy];[kalo, kpopan, bikin, stres, hati, hilang, empati, kewarasan, berkurang, musuhan, fandom, mending, rehat, peu, kpopan, kpop, bikin, semangat, happy];[kalo, kpopan, bikin, stres, hati, hilang, empati, waras, kurang, musuh, fandom, mending, rehat, perlu, kpopan, kpop, bikin, semangat, happy];negatif
baru ya di dunia kpop;[baru, ya, di, dunia, kpop];[baru, iya, di, dunia, kpop];[iya, dunia, kpop];[iya, dunia, kpop];netral
di antara tingkat grup kpop mereka adalah yang teratas;[di, antara, tingkat, grup, kpop, mereka, adalah, yang, teratas];[di, antara, tingkat, grup, kpop, mereka, adalah, yang, teratas];[tingkat, grup, kpop, teratas];[tingkat, grup, kpop, atas];positif
samaa kok kan aku juga dulu gap dari tahun baru kuliah kan tahun gak ketemu orang pasti canggung takut ada tapi kalau kita terbuka pasti ada aja yang mau kenalan sama kita jujur aku dulu nyari temen nanya kamu suka kpop gak gitu;[samaa, kok, kan, aku, juga, dulu, gap, dari, tahun, baru, kuliah, kan, tahun, gak, ketemu, orang, pasti, canggung, takut, ada, tapi, kalau, kita, terbuka, pasti, ada, aja, yang, mau, kenalan, sama, kita, jujur, aku, dulu, nyari, temen, nanya, kamu, suka, kpop, gak, gitu];[sama, kok, kan, aku, juga, dulu, gap, dari, tahun, baru, kuliah, kan, tahun, enggak, ketemu, orang, pasti, canggung, takut, ada, tapi, kalau, kita, terbuka, pasti, ada, saja, yang, mau, kenalan, sama, kita, jujur, aku, dulu, mencari, teman, tanya, kamu, suka, kpop, enggak, begitu];[gap, tahun, baru, kuliah, tahun, ketemu, orang, canggung, takut, terbuka, kenalan, jujur, mencari, teman, suka, kpop];[gap, tahun, baru, kuliah, tahun, ketemu, orang, canggung, takut, buka, kenal, jujur, cari, teman, suka, kpop];positif
lagulagu kpop lama tu kenapa easy listening banget ya;[lagulagu, kpop, lama, tu, kenapa, easy, listening, banget, ya];[lagulagu, kpop, lama, itu, kenapa, easy, listening, banget, iya];[lagulagu, kpop, easy, listening, banget, iya];[lagulagu, kpop, easy, listening, banget, iya];positif
tp hbs promosi first album mereka itu kan hiatus agak lama karena ga ada konten juga dr mereka aku mulai kepoin anime lagi sampe skg aku sudh tidak kpop kpopan lagimasih sih dengerin lagunya tp ga sampe ngikutin info mereka kaya dlu lagi sudh gitu aja ceritanya;[tp, hbs, promosi, first, album, mereka, itu, kan, hiatus, agak, lama, karena, ga, ada, konten, juga, dr, mereka, aku, mulai, kepoin, anime, lagi, sampe, skg, aku, sudh, tidak, kpop, kpopan, lagimasih, sih, dengerin, lagunya, tp, ga, sampe, ngikutin, info, mereka, kaya, dlu, lagi, sudh, gitu, aja, ceritanya];[tapi, habis, promosi, first, album, mereka, itu, kan, hiatus, agak, lama, karena, enggak, ada, konten, juga, dari, mereka, aku, mulai, mengepoi, anime, lagi, sampai, sekarang, aku, sudah, tidak, kpop, kpopan, lagimasih, sih, dengarkan, lagunya, tapi, enggak, sampai, mengikuti, info, mereka, kayak, dulu, lagi, sudah, begitu, saja, ceritanya];[habis, promosi, first, album, mereka, hiatus, konten, mengepoi, anime, kpop, kpopan, lagimasih, sih, dengarkan, lagunya, mengikuti, info, kayak, ceritanya];[habis, promosi, first, album, mereka, hiatus, konten, mengepoi, anime, kpop, kpopan, lagimasih, sih, dengar, lagu, ikut, info, kayak, cerita];negatif
tapi aku sempet hiatus dr kpop pas taunkarena kepo sama fairy tail xixixi marathon deh trsbalik lagi dan itu gara lihat mv blingbling ikon anjass aku suka bgt ituu sama mv mereka yg bday ngestan ikon ini pertama kali aku sampe beli lightstick mereka huhuhu;[tapi, aku, sempet, hiatus, dr, kpop, pas, taunkarena, kepo, sama, fairy, tail, xixixi, marathon, deh, trsbalik, lagi, dan, itu, gara, lihat, mv, blingbling, ikon, anjass, aku, suka, bgt, ituu, sama, mv, mereka, yg, bday, ngestan, ikon, ini, pertama, kali, aku, sampe, beli, lightstick, mereka, huhuhu];[tapi, aku, sempat, hiatus, dari, kpop, pas, tahun, karena, kepo, sama, fairy, tail, xixixi, marathon, deh, trsbalik, lagi, dan, itu, gara, lihat, mv, blingbling, ikon, anjass, aku, suka, banget, itu, sama, mv, mereka, yang, bday, ngestan, ikon, ini, pertama, kali, aku, sampai, beli, lightstick, mereka, huhuhu];[hiatus, kpop, pas, tahun, karena, kepo, fairy, tail, xixixi, marathon, deh, trsbalik, gara, lihat, mv, blingbling, ikon, anjass, suka, banget, mv, bday, ngestan, ikon, pertama, kali, beli, lightstick, huhuhu];[hiatus, kpop, pas, tahun, karena, kepo, fairy, tail, marathon, deh, trsbalik, gara, lihat, mv, blingbling, ikon, anjass, suka, banget, mv, bday, ngestan, ikon, pertama, kali, beli, lightstick, huhuhu];positif
ngestan bts ini juga lumayan lama tp aku cuma sampe ngstan mereka pas era fake love kayanya itu pertama kali aku beli album kpop juga karena sodara aku mau beli album blackpink btw dlu bis aku jungkook ged;[ngestan, bts, ini, juga, lumayan, lama, tp, aku, cuma, sampe, ngstan, mereka, pas, era, fake, love, kayanya, itu, pertama, kali, aku, beli, album, kpop, juga, karena, sodara, aku, mau, beli, album, blackpink, btw, dlu, bis, aku, jungkook, ged];[ngestan, bts, ini, juga, lumayan, lama, tapi, aku, cuma, sampai, ngstan, mereka, pas, era, fake, love, kayanya, itu, pertama, kali, aku, beli, album, kpop, juga, karena, sodara, aku, mau, beli, album, blackpink, btw, dulu, bis, aku, jungkook, ged];[ngestan, bts, lumayan, ngstan, pas, era, fake, love, kayanya, pertama, kali, beli, album, kpop, sodara, beli, album, blackpink, btw, bis, jungkook, ged];[ngestan, bts, lumayan, ngestan, pas, era, fake, love, kaya, pertama, kali, beli, album, kpop, sodara, beli, album, blackpink, btw, bis, jungkook, ged];positif
nah dilaptop temenku dia nyimpen vid kpop banyak dan ada vid debut bts yg no more dream kita lihat tuh disekul teriak pas bagian jimin yg ada lahtrs pas pelajaran tadi juga disuruh dance modern kan aku sama temen aku cuma cover dance nya red velvet doang hakshakhs;[nah, dilaptop, temenku, dia, nyimpen, vid, kpop, banyak, dan, ada, vid, debut, bts, yg, no, more, dream, kita, lihat, tuh, disekul, teriak, pas, bagian, jimin, yg, ada, lahtrs, pas, pelajaran, tadi, juga, disuruh, dance, modern, kan, aku, sama, temen, aku, cuma, cover, dance, nya, red, velvet, doang, hakshakhs];[nah, dilaptop, temenku, dia, menyimpan, vid, kpop, banyak, dan, ada, vid, debut, bts, yang, no, more, dream, kita, lihat, tuh, disekul, teriak, pas, bagian, jimin, yang, ada, lahtrs, pas, pelajaran, tadi, juga, disuruh, dance, modern, kan, aku, sama, teman, aku, cuma, cover, dance, nya, red, velvet, doang, hakshakhs];[dilaptop, temenku, menyimpan, vid, kpop, vid, debut, bts, no, more, dream, lihat, tuh, disekul, teriak, pas, jimin, lahtrs, pas, pelajaran, disuruh, dance, modern, teman, cover, dance, nya, red, velvet, doang, hakshakhs];[laptop, temenku, simpan, vid, kpop, vid, debut, bts, no, more, dream, lihat, tuh, sekul, teriak, pas, jimin, lahtrs, pas, ajar, suruh, dance, modern, teman, cover, dance, nya, red, velvet, doang, hakshakhs];positif
sama lagu mereka boyfriend anjas lah hbs itu dikenalin snsd gee dll nah pas disekolah ternyata ada temen yg tau kpop juga karena kakaknya kpopers yaudah kita berdua ngomongin kpop walaupun gangei apapas kelasaku dikenalin exo sama temenk;[sama, lagu, mereka, boyfriend, anjas, lah, hbs, itu, dikenalin, snsd, gee, dll, nah, pas, disekolah, ternyata, ada, temen, yg, tau, kpop, juga, karena, kakaknya, kpopers, yaudah, kita, berdua, ngomongin, kpop, walaupun, gangei, apapas, kelasaku, dikenalin, exo, sama, temenk];[sama, lagu, mereka, boyfriend, anjas, lah, habis, itu, dikenalin, snsd, gee, dll, nah, pas, disekolah, ternyata, ada, teman, yang, tau, kpop, juga, karena, kakaknya, kpopers, yaudah, kita, berdua, mengomongkan, kpop, walaupun, gangei, apapas, kelasaku, dikenalin, exo, sama, temenk];[lagu, boyfriend, anjas, habis, dikenalin, snsd, gee, pas, disekolah, teman, tau, kpop, kakaknya, kpopers, yaudah, berdua, mengomongkan, kpop, gangei, apapas, kelasaku, dikenalin, exo, temenk];[lagu, boyfriend, anjas, habis, dikenalin, snsd, gee, pas, seko, teman, tau, kpop, kakak, kpopers, yaudah, dua, omong, kpop, gangei, apapas, kelasa, dikenalin, exo, temenk];positif
aku baru kenal kpop itu dikenalin sama tetanggalku sekitar taunyep itu sekitar aku masih tkbsd kelasmasih kecil bgt tp juga namanya anak kecil dikenalin sesuatu pasti kepo dong dan akhirnya ikutikutan doang bb yang pertama kali di kenalin itu boyfriend;[aku, baru, kenal, kpop, itu, dikenalin, sama, tetanggalku, sekitar, taunyep, itu, sekitar, aku, masih, tkbsd, kelasmasih, kecil, bgt, tp, juga, namanya, anak, kecil, dikenalin, sesuatu, pasti, kepo, dong, dan, akhirnya, ikutikutan, doang, bb, yang, pertama, kali, di, kenalin, itu, boyfriend];[aku, baru, kenal, kpop, itu, dikenalin, sama, tetanggalku, sekitar, taunyep, itu, sekitar, aku, masih, tkbsd, kelasmasih, kecil, banget, tapi, juga, namanya, anak, kecil, dikenalin, sesuatu, pasti, kepo, dong, dan, akhirnya, ikutikutan, doang, bb, yang, pertama, kali, di, mengenalkan, itu, boyfriend];[kenal, kpop, dikenalin, tetanggalku, taunyep, tkbsd, kelasmasih, banget, namanya, anak, dikenalin, kepo, ikutikutan, doang, bb, pertama, kali, mengenalkan, boyfriend];[kenal, kpop, dikenalin, tetangga, taunyep, tkbsd, kelas, masih, banget, nama, anak, dikenalin, kepo, ikutikutan, doang, bb, pertama, kali, kenal, boyfriend];positif
wallahi its just kpop gan ributnya kok kek mau debat presiden;[wallahi, its, just, kpop, gan, ributnya, kok, kek, mau, debat, presiden];[wallahi, its, just, kpop, gan, ributnya, kok, kayak, mau, debat, presiden];[wallahi, its, just, kpop, gan, ributnya, kayak, debat, presiden];[wallahi, its, just, kpop, gan, ribut, kayak, debat, presiden];negatif
tp walopun ga ngikutin smpe skrg masih fllow ig nya sih wkkwka prinsipku ga peduli dia mau belok ato gmn aku suppo dia krn musiknya tp belakangan lagunya blm sopan ditelingaku sih wkwkwk lbh ketagihan dengeri kpop;[tp, walopun, ga, ngikutin, smpe, skrg, masih, fllow, ig, nya, sih, wkkwka, prinsipku, ga, peduli, dia, mau, belok, ato, gmn, aku, suppo, dia, krn, musiknya, tp, belakangan, lagunya, blm, sopan, ditelingaku, sih, wkwkwk, lbh, ketagihan, dengeri, kpop];[tapi, walopun, enggak, mengikuti, sampai, sekarang, masih, fllow, ig, nya, sih, wkkwka, prinsipku, tidak, peduli, dia, mau, belok, atau, bagaimana, aku, support, dia, karena, musiknya, tapi, belakangan, lagunya, belum, sopan, ditelingaku, sih, wkwkwk, lebih, ketagihan, dengeri, kpop];[walopun, mengikuti, fllow, ig, nya, sih, prinsipku, peduli, belok, support, musiknya, lagunya, sopan, ditelingaku, sih, ketagihan, dengari, kpop];[walopun, ikut, fllow, ig, nya, sih, prinsip, tidak, peduli, belok, support, musik, lagu, sopan, telinga, sih, tagih, dengar, kpop];positif
ini mah laki kpop ge gak bisa menghibur kesedihan gue hari ini;[ini, mah, laki, kpop, ge, gak, bisa, menghibur, kesedihan, gue, hari, ini];[ini, mah, laki, kpop, ge, tidak, bisa, menghibur, kesedihan, gue, hari, ini];[mah, laki, kpop, ge, tidak, menghibur, kesedihan, gue];[mah, laki, kpop, ge, tidak, hibur, sedih, gue];negatif
gajelas musik w kadang pop kadang kpop kadang aga emo dkit;[gajelas, musik, w, kadang, pop, kadang, kpop, kadang, aga, emo, dkit];[enggak jelas, musik, gue, kadang, pop, kadang, kpop, kadang, aga, emo, dkit];[enggak jelas, musik, gue, kadang, pop, kadang, kpop, kadang, aga, emo, dkit];[enggak jelas, musik, gue, kadang, pop, kadang, kpop, kadang, aga, emo, dkit];netral
gue support secret number dan zayyan karena gue seneng ada dita dan zayyan ngeramein industri kpop;[gue, support, secret, number, dan, zayyan, karena, gue, seneng, ada, dita, dan, zayyan, ngeramein, industri, kpop];[gue, support, secret, number, dan, zayyan, karena, gue, senang, ada, dita, dan, zayyan, ngeramein, industri, kpop];[gue, support, secret, number, zayyan, gue, senang, dita, zayyan, ngeramein, industri, kpop];[gue, support, secret, number, zayyan, gue, senang, dita, zayyan, ngeramein, industri, kpop];positif
saya bisa merasakan bahwa semua anggota exo memiliki vokal yang kuat;[saya, bisa, merasakan, bahwa, semua, anggota, exo, memiliki, vokal, yang, kuat];[saya, bisa, merasakan, bahwa, semua, anggota, exo, memiliki, vokal, yang, kuat];[merasakan, anggota, exo, memiliki, vokal, kuat];[rasa, anggota, exo, milik, vokal, kuat];positif
ninggalin sih engga ya kek mostly isi comsect cuman sekarang kek gimana yabuat pelepas penat dan kesedihan sih tapi even gakmantengin mereka hari dengerinnya ya kpop;[ninggalin, sih, engga, ya, kek, mostly, isi, comsect, cuman, sekarang, kek, gimana, yabuat, pelepas, penat, dan, kesedihan, sih, tapi, even, gakmantengin, mereka, hari, dengerinnya, ya, kpop];[meninggalkan, sih, enggak, iya, kayak, mostly, isi, comsect, cuman, sekarang, kayak, bagaimana, yabuat, pelepas, penat, dan, kesedihan, sih, tapi, even, gak, mantengin, mereka, hari, dengarinnya, iya, kpop];[meninggalkan, sih, iya, kayak, mostly, isi, comsect, cuman, kayak, yabuat, pelepas, penat, kesedihan, sih, even, gak, mantengin, dengarinnya, iya, kpop];[tinggal, sih, iya, kayak, mostly, isi, comsect, cuman, kayak, yabuat, lepas, penat, sedih, sih, even, gak mantengin, dengar, iya, kpop];negatif
hahahah ini sih perlu biar gk ribet pindah pindahin wkwkw soalnya ada bbrp org yg rokess bett kalau w update kpop kpop;[hahahah, ini, sih, perlu, biar, gk, ribet, pindah, pindahin, wkwkw, soalnya, ada, bbrp, org, yg, rokess, bett, kalau, w, update, kpop, kpop];[hahahah, ini, sih, perlu, biar, enggak, ribet, pindah, pindahin, wkwkw, soalnya, ada, beberapa, orang, yang, rokess, bett, kalau, gue, update, kpop, kpop];[sih, perlu, biar, ribet, pindah, pindahin, orang, rokess, bett, gue, update, kpop, kpop];[sih, perlu, biar, ribet, pindah, pindahin, orang, rokess, bett, gue, update, kpop, kpop];negatif
beberapa komentar netizen korea tentang comeback exo dengan singel let me in;[beberapa, komentar, netizen, korea, tentang, comeback, exo, dengan, singel, let, me, in];[beberapa, komentar, netizen, korea, tentang, comeback, exo, dengan, singel, let, me, ini];[komentar, netizen, korea, comeback, exo, singel, let, me];[komentar, netizen, korea, comeback, exo, singel, let, me];netral
mantap pioneer udah sewawarnet belum biar kaya kpop;[mantap, pioneer, udah, sewawarnet, belum, biar, kaya, kpop];[mantap, pioneer, sudah, sewawarnet, belum, biar, kayak, kpop];[mantap, pioneer, sewa, warnet, biar, kayak, kpop];[mantap, pioneer, sewa, warnet, biar, kayak, kpop];positif
tah lah orang asyik cakap aku ada bf sebab selalu senyum tengok phone dia taktau ke aku tengah angau tengok laki kpop aku;[tah, lah, orang, asyik, cakap, aku, ada, bf, sebab, selalu, senyum, tengok, phone, dia, taktau, ke, aku, tengah, angau, tengok, laki, kpop, aku];[teh, lah, orang, asyik, cakap, aku, ada, bf, sebab, selalu, senyum, tengok, phone, dia, taktau, ke, aku, tengah, angau, tengok, laki, kpop, aku];[teh, orang, asyik, cakap, bf, senyum, tengok, phone, taktau, angau, tengok, laki, kpop];[teh, orang, asyik, cakap, bf, senyum, tengok, phone, taktau, angau, tengok, laki, kpop];positif
mau negeri para bedebah plisss akdnosnsksa di perpus sekolah ada nya seri kedua jadi biar bisa aku bacaaaaku ga begitu paham sama dunia per kpop an tp semoga jodoh kakak salah satu mem nya exoaminnnn;[mau, negeri, para, bedebah, plisss, akdnosnsksa, di, perpus, sekolah, ada, nya, seri, kedua, jadi, biar, bisa, aku, bacaaaaku, ga, begitu, paham, sama, dunia, per, kpop, an, tp, semoga, jodoh, kakak, salah, satu, mem, nya, exoaminnnn];[mau, negeri, para, bedebah, plisss, akdnosnsksa, di, perpus, sekolah, ada, nya, seri, kedua, jadi, biar, bisa, aku, bacaaaaku, enggak, begitu, paham, sama, dunia, per, kpop, an, tapi, semoga, jodoh, kakak, salah, satu, mem, nya, exoaminnnn];[negeri, bedebah, plisss, akdnosnsksa, perpus, sekolah, nya, seri, biar, bacaaaaku, paham, dunia, kpop, an, semoga, jodoh, kakak, salah, mem, nya, exoaminnnn];[negeri, bedebah, plisss, akdnosnsksa, pus, sekolah, nya, seri, biar, bacaaaaku, paham, dunia, kpop, an, moga, jodoh, kakak, salah, mem, nya, exoaminnnn];positif
bosan ah tgok kpop groups skrg byk collab dengan westerners;[bosan, ah, tgok, kpop, groups, skrg, byk, collab, dengan, westerners];[bosan, ah, tgok, kpop, groups, sekarang, banyak, collab, dengan, westerners];[bosan, ah, tgok, kpop, groups, collab, westerners];[bosan, ah, tgok, kpop, groups, collab, westerners];negatif
inara tu member giband kpop apa;[inara, tu, member, giband, kpop, apa];[inara, itu, member, giband, kpop, apa];[inara, member, giband, kpop];[inara, member, giband, kpop];netral
jadi kepikiran jangan jangan cwk kpop gw diem diem juga udah punya anak mau masuk tk;[jadi, kepikiran, jangan, jangan, cwk, kpop, gw, diem, diem, juga, udah, punya, anak, mau, masuk, tk];[jadi, kepikiran, jangan, jangan, cwk, kpop, gue, diam, diam, juga, sudah, punya, anak, mau, masuk, tak];[kepikiran, cwk, kpop, gue, diam, diam, anak, masuk];[pikir, cwk, kpop, gue, diam, diam, anak, masuk];negatif
kpops emperor the origin of king of kpop makin nambah aja panggilan exo;[kpops, emperor, the, origin, of, king, of, kpop, makin, nambah, aja, panggilan, exo];[kpops, emperor, the, origin, of, king, of, kpop, makin, bertambah, saja, panggilan, exo];[kpops, emperor, the, origin, of, king, of, kpop, bertambah, panggilan, exo];[kpops, emperor, the, origin, of, king, of, kpop, tambah, panggil, exo];netral
sebut siapa cwk kpop u sa;[sebut, siapa, cwk, kpop, u, sa];[sebut, siapa, cwk, kpop, untuk, sa];[cwk, kpop, sa];[cwk, kpop, sa];netral
jualan printilan kpop sampe jadi pns yah pubi hehehe;[jualan, printilan, kpop, sampe, jadi, pns, yah, pubi, hehehe];[jualan, printilan, kpop, sampai, jadi, pns, ya, pubi, hehehe];[jualan, printilan, kpop, pns, ya, pubi];[jual, printilan, kpop, pns, iya, pub];positif
aku sejak mini album sunshine and city lights itu ga ngikutin bgt lagi trs abis itu ngilang balik balik dia jd bgtu;[aku, sejak, mini, album, sunshine, and, city, lights, itu, ga, ngikutin, bgt, lagi, trs, abis, itu, ngilang, balik, balik, dia, jd, bgtu];[aku, sejak, mini, album, sunshine, and, city, lights, itu, tidak, mengikuti, banget, lagi, terus, habis, itu, menghilang, balik, balik, dia, jadi, begitu];[mini, album, sunshine, and, city, lights, tidak, mengikuti, banget, habis, menghilang];[mini, album, sunshine, and, city, lights, tidak, ikut, banget, habis, hilang];negatif
wkwkw pernah ga si pngn nangis rasanya pas liat dia kek kok ada org se cakep ini kenapa dia idol kpop kok ga jdi org yg idup di sekitar gue aja gitu wkwjw;[wkwkw, pernah, ga, si, pngn, nangis, rasanya, pas, liat, dia, kek, kok, ada, org, se, cakep, ini, kenapa, dia, idol, kpop, kok, ga, jdi, org, yg, idup, di, sekitar, gue, aja, gitu, wkwjw];[wkwkw, pernah, enggak, sih, pengin, menangis, rasanya, pas, lihat, dia, kayak, kok, ada, orang, se, cakep, ini, kenapa, dia, idol, kpop, kok, enggak, jadi, orang, yang, hidup, di, sekitar, gue, saja, begitu, wkwjw];[sih, pengin, menangis, pas, lihat, kayak, orang, cakep, idol, kpop, orang, hidup, gue];[sih, pengin, nangis, pas, lihat, kayak, orang, cakep, idol, kpop, orang, hidup, gue];positif
gw sma bikin rekening soalnya hobi jajan perintilan kpop gpp nder bentar kok bikinnya paling bawa ktp sama d;[gw, sma, bikin, rekening, soalnya, hobi, jajan, perintilan, kpop, gpp, nder, bentar, kok, bikinnya, paling, bawa, ktp, sama, d];[gue, sama, bikin, rekening, soalnya, hobi, jajan, perintilan, kpop, enggak apa-apa, nder, bentar, kok, bikinnya, paling, bawa, ktp, sama, ada];[gue, bikin, rekening, hobi, jajan, perintilan, kpop, enggak apa-apa, nder, bentar, bikinnya, bawa, ktp];[gue, bikin, rekening, hobi, jajan, perintilan, kpop, enggak apa, nder, bentar, bikin, bawa, ktp];positif
dari aku smp sih terus mulai suka ngoleksiin dan beli novel kkpk awalnya beralih jadi suka bacabaca ff atau novel fiksi korea terjemahan karena waktu itu lagi demendemennya banget sama kpop;[dari, aku, smp, sih, terus, mulai, suka, ngoleksiin, dan, beli, novel, kkpk, awalnya, beralih, jadi, suka, bacabaca, ff, atau, novel, fiksi, korea, terjemahan, karena, waktu, itu, lagi, demendemennya, banget, sama, kpop];[dari, aku, sampai, sih, terus, mulai, suka, ngoleksiin, dan, beli, novel, kkpk, awalnya, beralih, jadi, suka, bacabaca, ff, atau, novel, fiksi, korea, terjemahan, karena, waktu, itu, lagi, demendemennya, banget, sama, kpop];[sih, suka, ngoleksiin, beli, novel, kkpk, beralih, suka, bacabaca, ff, novel, fiksi, korea, terjemahan, demendemennya, banget, kpop];[sih, suka, koleksi, beli, novel, kkpk, alih, suka, bacabaca, ff, novel, fiksi, korea, terjemah, demen, banget, kpop];positif
buat gw pribadi kalau ada rumor atau prediksi soal kpop idol tu bukan buat jdi patokan atau di percaya apalagi sampai ovehinking tp buat seruan atau pengen tau apakah beneran kejadian atau cuma gosip semata;[buat, gw, pribadi, kalau, ada, rumor, atau, prediksi, soal, kpop, idol, tu, bukan, buat, jdi, patokan, atau, di, percaya, apalagi, sampai, ovehinking, tp, buat, seruan, atau, pengen, tau, apakah, beneran, kejadian, atau, cuma, gosip, semata];[buat, gue, pribadi, kalau, ada, rumor, atau, prediksi, soal, kpop, idol, itu, bukan, buat, jadi, patokan, atau, di, percaya, apalagi, sampai, ovehinking, tapi, buat, seruan, atau, pengin, tau, apakah, benaran, kejadian, atau, cuma, gosip, semata];[gue, pribadi, rumor, prediksi, kpop, idol, bukan, patokan, percaya, ovehinking, seruan, pengin, tau, benaran, kejadian, gosip];[gue, pribadi, rumor, prediksi, kpop, idol, bukan, patok, percaya, ovehinking, seru, pengin, tau, benar, jadi, gosip];positif
pernah digosipin lesbi perkara wallpaper gua idol kpop cewe dan punya banyak temen online;[pernah, digosipin, lesbi, perkara, wallpaper, gua, idol, kpop, cewe, dan, punya, banyak, temen, online];[pernah, digosipin, lesbi, perkara, wallpaper, gue, idol, kpop, cewek, dan, punya, banyak, teman, online];[digosipin, lesbi, perkara, wallpaper, gue, idol, kpop, cewek, teman, online];[gosip, lesbi, perkara, wallpaper, gue, idol, kpop, cewek, teman, online];negatif
udah bener demen cowo kpop aja eh malah kecantol cowo ah bangsat;[udah, bener, demen, cowo, kpop, aja, eh, malah, kecantol, cowo, ah, bangsat];[sudah, benar, demen, cowok, kpop, saja, eh, malah, kecantol, cowo, ah, bangsat];[demen, cowok, kpop, eh, kecantol, cowo, ah, bangsat];[demen, cowok, kpop, eh, kecantol, cowo, ah, bangsat];positif
